id,name,host_id,host_name,neighbou_1,latitude,longitude,room_type,price,minimum_ni
"52042453",Cozy apartment for you | 1BR in Nashville,"368944610",,District 23,36.084249999999997,-86.893900000000002,Entire home/apt,"167","90"
"52042575",Apt of your own | 3BR in Nashville,"368944610",,District 26,36.055500000000002,-86.746589999999998,Entire home/apt,"233","90"
"52042585",Apt of your own | 3BR in Nashville,"368944610",,District 26,36.055840000000003,-86.747559999999993,Entire home/apt,"234","90"
"52043331","NEW! Luxe Home w/ Rooftop Patio, Mins to Downtown!","121235121",Evolve,District 19,36.181649999999998,-86.794409999999999,Entire home/apt,"445","3"
"52058165",Studio apt. W/ Rooftop.View of Downtown Nashville.,"346092567",500 Fith,District 19,36.167220000000000,-86.782669999999996,Entire home/apt,"210","1"
"52060960",Townhome in the heart of Nashville,"415967802",Laura,District 14,36.154339999999998,-86.638790000000000,Entire home/apt,"85","1"
"52086870",The Jasmine on Wedgewood - Steps to Hboro Village!,"85360355",StayLocal,District 18,36.136809999999997,-86.797669999999997,Entire home/apt,"157","1"
"52087886",The Bel-Vandy - Steps away from Hillsboro Village,"85360355",StayLocal,District 17,36.137627000000002,-86.796959000000001,Entire home/apt,"166","1"
"52130848",The Saunders Retreat: private house with endless games!,"388056808",Grand Welcome,District 8,36.246769999999998,-86.729820000000004,Entire home/apt,"184","1"
"52134009","The Slater--4 Bedrooms, Private Rooftop Terrace, Walk to 12 South AND Hillsboro Village","6675690",Isabeau And Shaun,District 17,36.136099999999999,-86.785319999999999,Entire home/apt,"492","31"
"52144863","Hip, Ground-Floor Getaway w/ Free WiFi, Central A/C, Kitchenette, & Cozy Porch","58616802",Vacasa Tennessee,District 26,36.082689999999999,-86.755240000000001,Entire home/apt,"234","2"
"52149414",Beautiful Home in the ?? of Nashville // Huge Backyard,"1542713",Brandon,District 19,36.169910000000002,-86.795869999999994,Entire home/apt,"250","3"
"52164196",!NEW! Corporate Suite or Couples Retreat in the Gulch!,"363524491",Adam,District 19,36.153649999999999,-86.782970000000006,Entire home/apt,"151","3"
"52166808",Luxurious Home w/roof top - 2 miles from Broadway!,"185192182",Inna,District 5,36.186810000000001,-86.770799999999994,Entire home/apt,"232","2"
"52167950",Relax in our newly renovated East Nashville house!,"115863325",Susan,District 6,36.189050000000002,-86.737080000000006,Entire home/apt,"148","30"
"52168426",The Hadley - 4 Miles to Downtown/Broadway!,"85360355",StayLocal,District 21,36.166789999999999,-86.817340000000002,Entire home/apt,"106","1"
"52168695",Nashville Heaven ?? Rooftop w/ Fire Pit & Grill,"307052796",LiVV,District 2,36.194960000000002,-86.780410000000003,Entire home/apt,"178","2"
"52170424",Music Row | New Luxury Duplex | Walk Everywhere,"106505883",TurnKey Vacation Rentals,District 17,36.138950000000001,-86.795000000000002,Entire home/apt,"255","3"
"52182341",NEW Downtown Skyline Views?Rooftop?Large Group,"352192409",Jane,District 2,36.205329999999996,-86.810239999999993,Entire home/apt,"350","2"
"52184480",Epic Rooftop | 5 Mins from Broadway | Luxury Stay,"1618127",Teddy,District 17,36.145550000000000,-86.784790000000001,Entire home/apt,"391","2"
