STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"47","037","015100","47037015100","151",Census Tract 151,G5020,S,"7572232","14553","+36.1575723","-086.6772114"
"47","037","016400","47037016400","164",Census Tract 164,G5020,S,"1133700","0","+36.1401698","-086.7966092"
"47","037","015200","47037015200","152",Census Tract 152,G5020,S,"3547028","0","+36.1729131","-086.6904639"
"47","037","015402","47037015402","154.02",Census Tract 154.02,G5020,S,"8571301","163135","+36.1898218","-086.6494938"
"47","037","016500","47037016500","165",Census Tract 165,G5020,S,"1494439","0","+36.1456055","-086.8050100"
"47","037","015620","47037015620","156.20",Census Tract 156.20,G5020,S,"3501056","0","+36.0696885","-086.6150441"
"47","037","019200","47037019200","192",Census Tract 192,G5020,S,"1771200","0","+36.1711529","-086.7520191"
"47","037","015637","47037015637","156.37",Census Tract 156.37,G5020,S,"9828657","1204178","+36.1045801","-086.6411995"
"47","037","015633","47037015633","156.33",Census Tract 156.33,G5020,S,"13138415","4907139","+36.1451761","-086.5766361"
"47","037","015636","47037015636","156.36",Census Tract 156.36,G5020,S,"2194409","0","+36.0833835","-086.6377772"
"47","037","019119","47037019119","191.19",Census Tract 191.19,G5020,S,"25041367","0","+35.9956858","-086.6512255"
"47","037","018205","47037018205","182.05",Census Tract 182.05,G5020,S,"7409386","430","+36.1055843","-086.9076505"
"47","037","019501","47037019501","195.01",Census Tract 195.01,G5020,S,"998870","0","+36.1531279","-086.7949488"
"47","037","018411","47037018411","184.11",Census Tract 184.11,G5020,S,"3377614","10931","+36.0926717","-086.9268922"
"47","037","018204","47037018204","182.04",Census Tract 182.04,G5020,S,"2800268","0","+36.0844529","-086.9108305"
"47","037","015632","47037015632","156.32",Census Tract 156.32,G5020,S,"3398825","1383216","+36.1585698","-086.6048178"
"47","037","015634","47037015634","156.34",Census Tract 156.34,G5020,S,"12600831","502128","+36.0446450","-086.5886022"
"47","037","019121","47037019121","191.21",Census Tract 191.21,G5020,S,"2701343","0","+36.0230594","-086.6995486"
"47","037","019120","47037019120","191.20",Census Tract 191.20,G5020,S,"2035288","0","+36.0124125","-086.6886850"
"47","037","013002","47037013002","130.02",Census Tract 130.02,G5020,S,"3839815","462204","+36.1934947","-086.9037055"
"47","037","013600","47037013600","136",Census Tract 136,G5020,S,"4457975","143854","+36.1685854","-086.8283325"
"47","037","019502","47037019502","195.02",Census Tract 195.02,G5020,S,"1649961","0","+36.1544195","-086.7787687"
"47","037","010404","47037010404","104.04",Census Tract 104.04,G5020,S,"1444518","0","+36.2686851","-086.7050851"
"47","037","015805","47037015805","158.05",Census Tract 158.05,G5020,S,"2272173","0","+36.1206283","-086.7079741"
"47","037","013701","47037013701","137.01",Census Tract 137.01,G5020,S,"2251144","73162","+36.1848855","-086.8164870"
"47","037","015635","47037015635","156.35",Census Tract 156.35,G5020,S,"22071873","14968757","+36.0957677","-086.5371441"
"47","037","019402","47037019402","194.02",Census Tract 194.02,G5020,S,"2029193","186729","+36.1856995","-086.7895295"
"47","037","019401","47037019401","194.01",Census Tract 194.01,G5020,S,"1921756","47123","+36.1720567","-086.7921107"
"47","037","019007","47037019007","190.07",Census Tract 190.07,G5020,S,"1607378","0","+36.0880201","-086.7233711"
"47","037","016700","47037016700","167",Census Tract 167,G5020,S,"3456003","0","+36.1328162","-086.8301351"
"47","037","010403","47037010403","104.03",Census Tract 104.03,G5020,S,"2059044","106942","+36.2676128","-086.6884134"
"47","037","010105","47037010105","101.05",Census Tract 101.05,G5020,S,"28328799","1093","+36.2504208","-086.8521501"
"47","037","018412","47037018412","184.12",Census Tract 184.12,G5020,S,"3137170","0","+36.0832193","-086.9387611"
"47","037","019503","47037019503","195.03",Census Tract 195.03,G5020,S,"2242163","182715","+36.1616431","-086.7784149"
"47","037","018303","47037018303","183.03",Census Tract 183.03,G5020,S,"52696957","1409715","+36.1506555","-086.9598389"
"47","037","013001","47037013001","130.01",Census Tract 130.01,G5020,S,"10976284","622661","+36.1790422","-086.8834540"
"47","037","013702","47037013702","137.02",Census Tract 137.02,G5020,S,"4583826","445043","+36.1969299","-086.8033726"
"47","037","018304","47037018304","183.04",Census Tract 183.04,G5020,S,"33231323","18712","+36.1026369","-086.9708139"
"47","037","015806","47037015806","158.06",Census Tract 158.06,G5020,S,"3849828","0","+36.1308439","-086.7183031"
"47","037","019008","47037019008","190.08",Census Tract 190.08,G5020,S,"2154206","0","+36.0896576","-086.7112379"
"47","037","010303","47037010303","103.03",Census Tract 103.03,G5020,S,"4508896","142888","+36.3132279","-086.7006728"
"47","037","010302","47037010302","103.02",Census Tract 103.02,G5020,S,"4179336","6813","+36.3139482","-086.7125964"
"47","037","010601","47037010601","106.01",Census Tract 106.01,G5020,S,"16795760","1110795","+36.2245500","-086.6618465"
"47","037","015624","47037015624","156.24",Census Tract 156.24,G5020,S,"3682744","1414202","+36.1487422","-086.6220223"
"47","037","015625","47037015625","156.25",Census Tract 156.25,G5020,S,"9544532","1931522","+36.1310221","-086.6454330"
"47","037","011300","47037011300","113",Census Tract 113,G5020,S,"4232038","0","+36.2021449","-086.7607811"
"47","037","017901","47037017901","179.01",Census Tract 179.01,G5020,S,"4676677","0","+36.1082810","-086.8271572"
"47","037","019004","47037019004","190.04",Census Tract 190.04,G5020,S,"2904633","0","+36.0699448","-086.7140690"
"47","037","015404","47037015404","154.04",Census Tract 154.04,G5020,S,"3857659","0","+36.1976330","-086.6144970"
"47","037","018801","47037018801","188.01",Census Tract 188.01,G5020,S,"8463283","0","+36.0609910","-086.7571310"
"47","037","014400","47037014400","144",Census Tract 144,G5020,S,"1912531","0","+36.1575954","-086.8057394"
"47","037","011001","47037011001","110.01",Census Tract 110.01,G5020,S,"7509312","13081","+36.2227139","-086.7535596"
"47","037","017200","47037017200","172",Census Tract 172,G5020,S,"4010466","0","+36.1215764","-086.7595152"
"47","037","015700","47037015700","157",Census Tract 157,G5020,S,"4157254","0","+36.1069737","-086.7024432"
"47","037","015900","47037015900","159",Census Tract 159,G5020,S,"5528107","0","+36.1360881","-086.7410692"
"47","037","012702","47037012702","127.02",Census Tract 127.02,G5020,S,"4518556","232757","+36.2054178","-086.7959672"
"47","037","010401","47037010401","104.01",Census Tract 104.01,G5020,S,"9555220","316555","+36.2943965","-086.6864670"
"47","037","017800","47037017800","178",Census Tract 178,G5020,S,"4106211","0","+36.1121384","-086.7923247"
"47","037","019109","47037019109","191.09",Census Tract 191.09,G5020,S,"2320351","0","+36.0587985","-086.6901291"
"47","037","017500","47037017500","175",Census Tract 175,G5020,S,"2900693","0","+36.1012125","-086.7435769"
"47","037","015613","47037015613","156.13",Census Tract 156.13,G5020,S,"8565186","4714","+36.0881988","-086.6808560"
"47","037","010301","47037010301","103.01",Census Tract 103.01,G5020,S,"8527942","11775","+36.3161492","-086.7261435"
"47","037","010802","47037010802","108.02",Census Tract 108.02,G5020,S,"5339985","0","+36.2509942","-086.7319002"
"47","037","010904","47037010904","109.04",Census Tract 109.04,G5020,S,"2449037","0","+36.2343173","-086.7732109"
