OBJECTID,GEOID,B25001e1,B25001m1,B25002e1,B25002m1,B25002e3,B25002m3,B25003e3,B25003m3,B25004e1,B25004m1,B25004e3,B25004m3,B25004e6,B25004m6,B25004e7,B25004m7
"1123",14000US47157009100,945,41,945,41,84,54,569,88,84,54,0,12,0,12,0,12
"1124",14000US47157009200,3334,69,3334,69,156,123,534,174,156,123,0,17,0,17,0,17
"1125",14000US47157009300,2355,54,2355,54,367,148,533,162,367,148,45,73,0,12,0,12
"1126",14000US47157009400,1723,33,1723,33,133,91,561,130,133,91,0,12,0,12,0,12
"1127",14000US47157009500,3071,104,3071,104,286,174,495,164,286,174,0,17,0,17,0,17
"1128",14000US47157009600,2132,44,2132,44,210,140,298,152,210,140,54,87,0,17,0,17
"1129",14000US47157009700,1116,27,1116,27,173,72,369,96,173,72,0,12,19,30,0,12
"1130",14000US47157009800,1314,32,1314,32,220,97,517,117,220,97,26,41,22,35,0,12
"1131",14000US47157009901,1325,93,1325,93,260,104,584,147,260,104,0,12,37,38,16,26
"1132",14000US47157009902,1319,74,1319,74,545,107,395,103,545,107,64,60,0,12,0,12
"1133",14000US47157010000,2937,101,2937,101,288,138,1513,246,288,138,0,17,0,17,0,17
"1134",14000US47157010110,3002,74,3002,74,1206,198,1008,212,1206,198,101,100,0,17,0,17
"1135",14000US47157010120,2514,72,2514,72,749,155,1236,174,749,155,85,68,0,17,0,17
"1136",14000US47157010210,2223,54,2223,54,380,127,994,158,380,127,99,72,0,17,0,17
"1137",14000US47157010220,2814,166,2814,166,278,156,1201,221,278,156,29,50,0,17,0,17
"1138",14000US47157010300,619,34,619,34,173,52,257,68,173,52,32,26,0,12,0,12
"1139",14000US47157010500,1285,41,1285,41,773,66,368,66,773,66,9,14,0,12,0,12
"1140",14000US47157010610,2394,69,2394,69,458,162,1111,196,458,162,0,17,0,17,0,17
"1141",14000US47157010620,1653,64,1653,64,396,114,994,150,396,114,0,12,0,12,0,12
"1142",14000US47157010630,1968,87,1968,87,608,124,1045,149,608,124,12,20,15,23,0,12
"1143",14000US47157010710,1655,52,1655,52,116,71,606,121,116,71,0,17,0,17,0,17
"1144",14000US47157010720,1738,35,1738,35,181,89,1057,113,181,89,0,12,0,12,0,12
"1145",14000US47157010810,2378,70,2378,70,335,120,1195,170,335,120,0,17,0,17,0,17
"1146",14000US47157010820,1722,39,1722,39,182,94,579,141,182,94,0,12,0,12,0,12
"1147",14000US47157011010,1599,82,1599,82,271,118,399,134,271,118,32,51,52,56,0,12
"1148",14000US47157011020,1088,52,1088,52,538,66,278,66,538,66,0,12,20,24,0,12
"1149",14000US47157011100,879,58,879,58,212,74,357,71,212,74,0,12,6,9,0,12
"1150",14000US47157011200,842,75,842,75,219,56,455,71,219,56,0,12,0,12,0,12
"1151",14000US47157011300,933,55,933,55,209,81,652,92,209,81,0,12,6,8,0,12
"1152",14000US47157011400,1738,139,1738,139,283,117,1405,174,283,117,63,62,39,44,0,17
"1153",14000US47157011500,1327,122,1327,122,319,123,673,146,319,123,0,12,0,12,0,12
"1154",14000US47157011600,1086,87,1086,87,240,95,664,117,240,95,19,30,0,12,0,12
"1155",14000US47157011700,593,67,593,67,130,60,213,53,130,60,0,12,0,12,0,12
"1156",14000US47157011800,2234,73,2234,73,242,103,1063,174,242,103,0,17,0,17,0,17
"1157",14000US47157020101,1584,87,1584,87,351,121,458,129,351,121,0,12,0,12,0,12
"1158",14000US47157020102,1126,50,1126,50,28,34,141,74,28,34,0,12,0,12,0,12
"1159",14000US47157020210,2254,119,2254,119,261,155,934,216,261,155,126,110,0,17,0,17
"1160",14000US47157020221,1071,94,1071,94,80,66,210,79,80,66,28,44,0,12,0,12
"1161",14000US47157020222,1092,48,1092,48,119,97,324,108,119,97,0,12,0,12,0,12
"1162",14000US47157020300,2666,204,2666,204,406,182,862,191,406,182,100,108,0,17,0,17
"1163",14000US47157020400,389,45,389,45,67,39,305,46,67,39,14,22,0,12,0,12
"1164",14000US47157020511,894,30,894,30,142,64,164,78,142,64,34,40,0,12,0,12
"1165",14000US47157020512,3291,101,3291,101,879,195,1655,231,879,195,82,76,54,63,0,17
"1166",14000US47157020521,1488,30,1488,30,272,106,808,131,272,106,63,45,0,12,0,12
"1167",14000US47157020523,1457,77,1457,77,458,97,716,112,458,97,0,12,0,12,0,12
"1168",14000US47157020524,1841,49,1841,49,255,85,745,140,255,85,32,36,0,12,0,12
"1169",14000US47157020531,1836,86,1836,86,168,99,893,172,168,99,28,42,0,17,0,17
"1170",14000US47157020532,2537,98,2537,98,236,173,1005,219,236,173,0,17,0,17,0,17
"1171",14000US47157020541,2059,34,2059,34,334,142,884,182,334,142,94,89,0,17,0,17
"1172",14000US47157020542,2685,67,2685,67,425,180,1945,254,425,180,89,82,0,17,0,17
"1173",14000US47157020610,2005,64,2005,64,164,79,1271,120,164,79,49,55,25,40,0,12
"1174",14000US47157020621,3213,60,3213,60,92,90,1888,199,92,90,0,17,0,17,0,17
"1175",14000US47157020622,1821,61,1821,61,136,64,556,104,136,64,36,43,0,12,0,12
"1176",14000US47157020632,1979,72,1979,72,49,75,229,74,49,75,0,17,0,17,0,17
"1177",14000US47157020633,1241,65,1241,65,104,72,179,77,104,72,0,12,0,12,0,12
"1178",14000US47157020634,1126,61,1126,61,23,37,92,62,23,37,0,12,0,12,0,12
"1179",14000US47157020635,977,40,977,40,35,35,90,45,35,35,0,12,0,12,0,12
"1180",14000US47157020642,3398,155,3398,155,0,19,280,153,0,19,0,19,0,19,0,19
"1181",14000US47157020643,3186,110,3186,110,144,101,492,151,144,101,0,17,0,17,0,17
"1182",14000US47157020644,3616,77,3616,77,220,145,940,229,220,145,0,17,57,85,0,17
"1183",14000US47157020651,2588,86,2588,86,149,134,891,249,149,134,0,17,0,17,0,17
"1184",14000US47157020652,2030,73,2030,73,202,118,361,127,202,118,53,78,0,17,0,17
"1185",14000US47157020700,858,46,858,46,80,49,91,36,80,49,0,12,0,12,0,12
"1186",14000US47157020810,1040,67,1040,67,68,52,56,35,68,52,0,12,0,12,0,12
"1187",14000US47157020820,2751,156,2751,156,89,73,67,46,89,73,0,17,0,17,0,17
"1188",14000US47157020831,1422,101,1422,101,42,51,398,100,42,51,0,12,0,12,0,12
"1189",14000US47157020832,3186,135,3186,135,0,19,405,150,0,19,0,19,0,19,0,19
"1190",14000US47157020900,3122,177,3122,177,34,52,468,181,34,52,0,19,0,19,0,19
"1191",14000US47157021010,6826,196,6826,196,517,323,2512,485,517,323,0,19,0,19,0,19
"1192",14000US47157021020,2326,116,2326,116,163,138,460,175,163,138,0,17,0,17,0,17
"1193",14000US47157021111,1693,57,1693,57,119,72,975,152,119,72,0,12,20,30,0,12
"1194",14000US47157021112,2510,98,2510,98,74,86,912,228,74,86,0,17,0,17,0,17
"1195",14000US47157021113,1509,45,1509,45,126,101,494,138,126,101,0,12,0,12,0,12
"1196",14000US47157021121,2771,97,2771,97,186,140,2001,233,186,140,43,68,0,17,0,17
"1197",14000US47157021122,2560,61,2560,61,320,157,1266,211,320,157,151,115,0,17,0,17
"1198",14000US47157021124,2944,134,2944,134,291,170,1130,250,291,170,0,17,0,17,0,17
"1199",14000US47157021125,1983,49,1983,49,105,83,773,131,105,83,22,36,29,45,0,12
