"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"1000000US470370101053002","Block 3002, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","44","44","0"
"1000000US470370101053003","Block 3003, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","22","8","14"
"1000000US470370101053004","Block 3004, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","25","25","0"
"1000000US470370101053005","Block 3005, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","138","133","5"
"1000000US470370101053006","Block 3006, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","25","25","0"
"1000000US470370101053007","Block 3007, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","46","46","0"
"1000000US470370101053008","Block 3008, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","18","18","0"
"1000000US470370101061000","Block 1000, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","36","36","0"
"1000000US470370101061001","Block 1001, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101061002","Block 1002, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101061003","Block 1003, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","49","44","5"
"1000000US470370101061004","Block 1004, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101061005","Block 1005, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","6","5","1"
"1000000US470370101061006","Block 1006, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","37","37","0"
"1000000US470370101061007","Block 1007, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","2","0","2"
"1000000US470370101061008","Block 1008, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","1","0","1"
"1000000US470370101061009","Block 1009, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","6","6","0"
"1000000US470370101061010","Block 1010, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
